posts,type
"Participating in a virtual book club to connect with others over literature.", INFP
"Attending a classical music concert to immerse myself in emotional melodies.", INFP
"Exploring a virtual art gallery to appreciate diverse artistic expressions.", INFP
"Joining a nature preservation initiative to contribute to environmental care.", INFP
"Participating in a group mindfulness hike to connect with nature and self.", INFP
"Attending a self-discovery workshop to explore personal growth and reflection.", INFP
"Creating a calming corner at home with soft lighting and comforting elements.", INFP
"Joining a writing retreat to focus on creative expression and storytelling.", INFP
"Participating in a virtual support group to connect with like-minded individuals.", INFP
"Attending a creative writing workshop to enhance my storytelling skills.", INFP
"Exploring a virtual museum tour to appreciate art and cultural history.", INFP
"Joining an online meditation group to practice mindfulness with others.", INFP
"Participating in a community poetry writing challenge to express emotions.", INFP
"Attending a philosophy discussion group to explore deep intellectual concepts.", INFP
"Creating a personal sanctuary in nature for moments of solitude and reflection.", INFP
"Joining a virtual tea ceremony to appreciate the art of mindfulness.", INFP
"Participating in a community journaling challenge to document daily reflections.", INFP
"Attending a therapeutic dance class to express emotions through movement.", INFP
"Exploring a virtual photography exhibition to appreciate visual storytelling.", INFP
"Joining an online self-help book club to explore personal development.", INFP
"Participating in a virtual painting workshop to express creativity and emotion.", INFP
"Attending a community herbalism class to explore the healing power of plants.", INFP
"Creating a vision board focused on self-love and personal growth.", INFP
"Joining an online support group for individuals passionate about social justice.", INFP
"Participating in a virtual meditation and mindfulness conference for insights.", INFP
"Attending a virtual candle-making workshop for a soothing and creative activity.", INFP
"Exploring a virtual stargazing event to appreciate the beauty of the night sky.", INFP
"Joining a community writing circle to share and receive feedback on stories.", INFP
"Participating in an online expressive arts therapy session for emotional release.", INFP
"Attending a virtual cultural exchange event to celebrate diversity.", INFP
"Creating a virtual art gallery showcasing personal artworks and expressions.", INFP
"Joining an online philosophy discussion group to explore existential questions.", INFP
"Participating in a virtual nature sketching class to connect with the environment.", INFP
"Attending a virtual sound healing session for relaxation and inner harmony.", INFP
"Exploring a virtual mindfulness photography challenge to capture moments of peace.", INFP
"Joining an online support group for individuals passionate about environmental activism.", INFP
"Participating in a virtual community storytelling event to share personal narratives.", INFP
"Attending an online dream interpretation workshop to explore the subconscious mind.", INFP
"Creating a virtual gratitude journal to focus on positive aspects of daily life.", INFP
"Joining an online poetry writing circle to express emotions and experiences.", INFP
"Participating in a virtual self-compassion workshop to enhance well-being.", INFP
"Attending an online labyrinth walk meditation for spiritual exploration.", INFP
"Organizing a community mural project to beautify a local school or library.", ENFP
"Joining a neighborhood poetry reading group to share and appreciate verses.", ENFP
"Hosting a community potluck dinner with a diverse range of homemade dishes.", ENFP
"Attending a local storytelling festival to immerse in different narratives.", ENFP
"Creating a neighborhood cookbook featuring favorite recipes from residents.", ENFP
"Participating in a community dance-off event to celebrate movement and joy.", ENFP
"Organizing a neighborhood photography contest to capture the essence of the area.", ENFP
"Joining a community garden club to cultivate green spaces and share gardening tips.", ENFP
"Hosting a DIY craft night where neighbors can create and exchange handmade items.", ENFP
"Attending a laughter therapy session in the community for shared laughter and positivity.", ENFP
"Creating a community poetry wall where residents can add their favorite verses.", ENFP
"Participating in a neighborhood DIY home decor workshop to share creative ideas.", ENFP
"Organizing a community board game night to engage in friendly competition and laughter.", ENFP
"Joining a neighborhood movie night under the stars with a projector and blankets.", ENFP
"Hosting a community storytelling night where residents share personal anecdotes.", ENFP
"Attending a neighborhood drum circle to connect through rhythm and music.", ENFP
"Creating a community mural that tells the story of the neighborhood's rich history.", ENFP
"Participating in a community singing group to harmonize with neighbors and build camaraderie.", ENFP
"Organizing a neighborhood fitness challenge to promote health and well-being.", ENFP
"Joining a community drumming circle to connect through rhythm and music.", ENFP
"Hosting a neighborhood paint-and-sip event where residents can unleash their artistic side.", ENFP
"Attending a community storytelling festival to celebrate the oral traditions of different cultures.", ENFP
"Creating a community art installation using recycled materials to promote sustainability.", ENFP
"Participating in a community drumming circle to connect through rhythm and music.", ENFP
"Organizing a neighborhood DIY home decor workshop to share creative ideas.", ENFP
"Joining a community picnic in the park to share food, laughter, and good company.", ENFP
"Hosting a neighborhood paint-and-sip event where residents can unleash their artistic side.", ENFP
"Attending a community kite festival to enjoy the outdoors and colorful skies.", ENFP
"Creating a community poetry wall where residents can share their favorite verses.", ENFP
"Participating in a community photography contest to showcase the beauty of the neighborhood.", ENFP
"Organizing a neighborhood book swap to promote literacy and community bonding.", ENFP
"Joining a community dance workshop to learn different styles and express creativity.", ENFP
"Hosting a neighborhood storytelling night where residents share personal anecdotes.", ENFP
"Attending a community DIY gardening workshop to cultivate green spaces together.", ENFP
"Creating a community art trail with installations and sculptures throughout the neighborhood.", ENFP
"Participating in a neighborhood drumming workshop to explore the power of rhythm.", ENFP
"Organizing a community mural painting event to beautify a local public space.", ENFP
"Joining a neighborhood talent exchange where residents share their unique skills.", ENFP
"Hosting a community board game marathon to foster friendly competition and connection.", ENFP
"Attending a neighborhood dance party with a DJ, lights, and an energetic atmosphere.", ENFP
"Creating a community mural that reflects the dreams and aspirations of residents.", ENFP
"Participating in a neighborhood storytelling circle to share personal narratives.", ENFP
"Organizing a community craft fair to showcase the artistic talents of residents.", ENFP
"Joining a neighborhood gardening cooperative to share resources and knowledge.", ENFP
"Hosting a community open mic night for residents to showcase their musical talents.", ENFP
"Attending a neighborhood photo walk to capture the unique perspectives of the area.", ENFP
"Creating a community vision board party to set collective intentions for the future.", ENFP
"Exploring mindfulness through a virtual labyrinth walk meditation.", INFP
"Creating a personal haven for reading and reflection in a cozy corner.", INFP
"Attending an online philosophy discussion group for existential exploration.", INFP
"Participating in a virtual nature sketching class to connect with the environment.", INFP
"Hosting a virtual gratitude journaling workshop for cultivating positivity.", INFP
"Joining an online poetry writing circle to express emotions and experiences.", INFP
"Attending a virtual self-compassion workshop to enhance overall well-being.", INFP
"Exploring a virtual sound healing session for relaxation and inner harmony.", INFP
"Creating a virtual gratitude jar to collect moments of appreciation and joy.", INFP
"Participating in a virtual community storytelling event to share personal narratives.", INFP
"Attending an online dream interpretation workshop to explore the subconscious mind.", INFP
"Hosting a virtual candle-making workshop for a soothing and creative activity.", INFP
"Joining an online support group for individuals passionate about social justice.", INFP
"Participating in a virtual community mindfulness walk for relaxation and connection.", INFP
"Attending a virtual cultural exchange event to celebrate diversity.", INFP
"Creating a virtual art gallery showcasing personal artworks and expressions.", INFP
"Joining an online expressive arts therapy session for emotional release.", INFP
"Participating in a virtual self-help book club to explore personal development.", INFP
"Attending a virtual labyrinth walk meditation for spiritual exploration.", INFP
"Exploring different meditation techniques in a virtual group setting.", INFP
"Creating a virtual gratitude journal to focus on positive aspects of daily life.", INFP
"Joining an online poetry writing circle to express emotions and experiences.", INFP
"Participating in a virtual community storytelling event to share personal narratives.", INFP
"Attending an online dream interpretation workshop to explore the subconscious mind.", INFP
"Hosting a virtual candle-making workshop for a soothing and creative activity.", INFP
"Joining an online support group for individuals passionate about social justice.", INFP
"Participating in a virtual community mindfulness walk for relaxation and connection.", INFP
"Attending a virtual cultural exchange event to celebrate diversity.", INFP
"Creating a virtual art gallery showcasing personal artworks and expressions.", INFP
"Joining an online expressive arts therapy session for emotional release.", INFP
"Participating in a virtual self-help book club to explore personal development.", INFP
"Attending a virtual labyrinth walk meditation for spiritual exploration.", INFP
"Exploring different meditation techniques in a virtual group setting.", INFP
"Creating a virtual gratitude journal to focus on positive aspects of daily life.", INFP
"Joining an online poetry writing circle to express emotions and experiences.", INFP
"Participating in a virtual community storytelling event to share personal narratives.", INFP
"Attending an online dream interpretation workshop to explore the subconscious mind.", INFP
"Hosting a virtual candle-making workshop for a soothing and creative activity.", INFP
"Joining an online support group for individuals passionate about social justice.", INFP
"Participating in a virtual community mindfulness walk for relaxation and connection.", INFP
"Attending a virtual cultural exchange event to celebrate diversity.", INFP
"Creating a virtual art gallery showcasing personal artworks and expressions.", INFP
"Joining an online expressive arts therapy session for emotional release.", INFP
"Participating in a virtual self-help book club to explore personal development.", INFP
"Attending a virtual labyrinth walk meditation for spiritual exploration.", INFP
"Exploring different meditation techniques in a virtual group setting.", INFP
"Creating a virtual gratitude journal to focus on positive aspects of daily life.", INFP
"Joining an online poetry writing circle to express emotions and experiences.", INFP
"Participating in a virtual community storytelling event to share personal narratives.", INFP
"Attending an online dream interpretation workshop to explore the subconscious mind.", INFP
"Hosting a virtual candle-making workshop for a soothing and creative activity.", INFP
"Joining an online support group for individuals passionate about social justice.", INFP
"Joining a community yoga class to connect mind, body, and spirit.", ENFP
"Hosting a virtual game night with friends for laughter and fun.", ENFP
"Creating a vision board filled with travel destinations and adventure.", ENFP
"Attending an outdoor painting workshop to express creativity in nature.", ENFP
"Organizing a neighborhood talent show to showcase diverse skills.", ENFP
"Joining a community cooking class to explore new cuisines.", ENFP
"Hosting a themed costume party to encourage creativity and joy.", ENFP
"Attending a live comedy show to enjoy humor and entertainment.", ENFP
"Exploring a community garden to connect with nature and fellow enthusiasts.", ENFP
"Joining a dance marathon fundraiser to support a charitable organization.", ENFP
"Hosting a virtual trivia night with friends for intellectual stimulation.", ENFP
"Attending a local farmers' market to discover fresh and organic produce.", ENFP
"Creating a community mural that reflects the neighborhood's diversity.", ENFP
"Participating in a neighborhood book club to share literary insights.", ENFP
"Hosting a DIY craft workshop to inspire creativity in the community.", ENFP
"Joining a community improv group for spontaneous and collaborative fun.", ENFP
"Attending a film festival to explore diverse cinematic experiences.", ENFP
"Exploring a virtual escape room with friends for a challenging adventure.", ENFP
"Organizing a neighborhood picnic with games and shared laughter.", ENFP
"Joining a photography club to capture the beauty of everyday moments.", ENFP
"Hosting a virtual karaoke night to celebrate music and expression.", ENFP
"Attending a community art exhibition to appreciate local talents.", ENFP
"Creating a community mural that represents shared dreams and goals.", ENFP
"Participating in a neighborhood clean-up day for environmental stewardship.", ENFP
"Hosting a themed potluck dinner to celebrate cultural diversity.", ENFP
"Joining a community hiking group to explore scenic trails together.", ENFP
"Attending a live music concert to immerse in the energy of performance.", ENFP
"Exploring a virtual reality art experience for a unique creative journey.", ENFP
"Joining a community science fair to promote learning and curiosity.", ENFP
"Hosting a virtual wine and paint night for artistic expression.", ENFP
"Attending a community wellness retreat to recharge mind and body.", ENFP
"Creating a community mural that showcases shared values and aspirations.", ENFP
"Participating in a neighborhood storytelling event to share personal anecdotes.", ENFP
"Hosting a virtual game night with friends for laughter and connection.", ENFP
"Joining a community yoga class to enhance well-being and mindfulness.", ENFP
"Attending an outdoor movie night with neighbors for a cinematic experience.", ENFP
"Exploring a virtual art gallery tour to appreciate diverse artistic expressions.", ENFP
"Organizing a neighborhood charity walk to support local initiatives.", ENFP
"Joining a community poetry writing circle to express emotions through verses.", ENFP
"Hosting a virtual dance party with friends for energetic and joyful vibes.", ENFP
"Attending a community gardening workshop to nurture green spaces.", ENFP
"Creating a vision board filled with aspirations for personal growth.", ENFP
"Hosting a virtual trivia night with friends for intellectual stimulation.", ENFP
"Attending a live comedy show to enjoy humor and entertainment.", ENFP
"Exploring a community garden to connect with nature and fellow enthusiasts.", ENFP
"Joining a dance marathon fundraiser to support a charitable organization.", ENFP
"Hosting a virtual escape room challenge for collaborative problem-solving.", ENFP
"Attending a neighborhood cultural festival to celebrate diversity.", ENFP
"Creating a community mural that reflects shared memories and experiences.", ENFP
"Participating in a neighborhood clean-up day for environmental conservation.", ENFP
"Hosting a virtual game night with friends for laughter and connection.", ENFP
"Joining a community yoga class to enhance well-being and mindfulness.", ENFP
"Attending an outdoor movie night with neighbors for a cinematic experience.", ENFP
"Exploring a virtual art gallery tour to appreciate diverse artistic expressions.", ENFP
"Organizing a neighborhood charity walk to support local initiatives.", ENFP
"Joining a community poetry writing circle to express emotions through verses.", ENFP
"Hosting a virtual dance party with friends for energetic and joyful vibes.", ENFP
"Attending a community gardening workshop to nurture green spaces.", ENFP
"Creating a vision board filled with aspirations for personal growth.", ENFP
"Participating in a local charity run to support a meaningful cause.", ENFP
"Hosting a virtual dream interpretation circle to explore subconscious realms.", INFP
"Joining a community meditation group to foster inner peace and reflection.", INFP
"Attending a virtual poetry slam event to appreciate diverse creative expressions.", INFP
"Participating in an online expressive writing workshop for emotional exploration.", INFP
"Creating a virtual nature-inspired art gallery to showcase personal creations.", INFP
"Exploring a virtual mindfulness photography challenge to capture moments of peace.", INFP
"Organizing a virtual journaling retreat for introspective and reflective writing.", INFP
"Attending a virtual sound healing meditation session for relaxation and tranquility.", INFP
"Joining an online philosophy discussion club for deep intellectual conversations.", INFP
"Hosting a virtual tea ceremony to appreciate the calming ritual and connection.", INFP
"Attending a virtual self-compassion workshop for enhancing emotional well-being.", INFP
"Participating in an online mindfulness book club to explore present-moment awareness.", INFP
"Creating a virtual art journal to express emotions and thoughts through visuals.", INFP
"Exploring a virtual tarot card reading session for introspection and guidance.", INFP
"Organizing a virtual creative writing retreat for storytelling and self-expression.", INFP
"Attending an online herbalism class to explore the healing power of plants.", INFP
"Joining a virtual music therapy session to experience the therapeutic benefits.", INFP
"Hosting a virtual meditation and poetry night to combine mindfulness and creativity.", INFP
"Attending an online vision board party to manifest dreams and aspirations.", INFP
"Participating in a virtual dream analysis workshop to decipher subconscious messages.", INFP
"Creating a virtual photography exhibition to share personal visual narratives.", INFP
"Exploring a virtual mindfulness art therapy session for emotional expression.", INFP
"Organizing an online gratitude circle to share moments of appreciation.", INFP
"Attending a virtual cultural exchange event to celebrate diversity and unity.", INFP
"Joining an online discussion on existential philosophy for profound reflections.", INFP
"Hosting a virtual DIY aromatherapy workshop for relaxation and well-being.", INFP
"Attending a virtual labyrinth walk meditation for spiritual introspection.", INFP
"Participating in an online astrology workshop to explore celestial influences.", INFP
"Creating a virtual guided meditation series for relaxation and self-discovery.", INFP
"Exploring a virtual philosophy of happiness discussion for insightful perspectives.", INFP
"Organizing an online expressive dance session for emotional release and joy.", INFP
"Attending a virtual mindfulness nature walk for connection with the environment.", INFP
"Joining an online support group for individuals passionate about social justice.", INFP
"Hosting a virtual creative expression showcase for sharing artistic talents.", INFP
"Attending a virtual poetry writing marathon to explore varied writing styles.", INFP
"Participating in an online dream journaling workshop for subconscious exploration.", INFP
"Creating a virtual art therapy session to express emotions through creative processes.", INFP
"Exploring a virtual meditation and crystal healing session for holistic well-being.", INFP
"Organizing an online discussion on the philosophy of time for deep contemplation.", INFP
"Attending a virtual yoga and mindfulness retreat for relaxation and self-care.", INFP
"Joining an online philosophy of love discussion for reflections on relationships.", INFP
"Hosting a virtual nature-inspired poetry night to celebrate the beauty of the earth.", INFP
"Attending a virtual self-discovery workshop to explore personal growth.", INFP
"Participating in an online holistic wellness webinar for a balanced lifestyle.", INFP
"Creating a virtual gratitude mandala to visually represent moments of thankfulness.", INFP
"Exploring a virtual mindfulness and storytelling workshop for introspection.", INFP
"Organizing an online discussion on the philosophy of beauty for diverse perspectives.", INFP
"Attending a virtual crystal healing and meditation session for energy balance.", INFP
"Joining a virtual book club focused on spiritual and metaphysical literature.", INFP
"Hosting a virtual vision board party to set intentions and manifest dreams.", INFP
"Attending an online discussion on the philosophy of emotions for self-awareness.", INFP
"Joining a virtual laughter yoga class for joy and positive energy.", ENFP
"Hosting a community mural painting event to unite and express creativity.", ENFP
"Attending a neighborhood drum circle for rhythmic connection and fun.", ENFP
"Participating in a virtual improv comedy workshop for spontaneity.", ENFP
"Creating a community vision board to inspire collective dreams and goals.", ENFP
"Exploring a virtual escape room challenge with friends for teamwork.", ENFP
"Organizing a neighborhood talent exchange to showcase diverse skills.", ENFP
"Attending a virtual game night with friends for lighthearted competition.", ENFP
"Joining a community storytelling festival to celebrate diverse narratives.", ENFP
"Hosting a DIY craft party for neighbors to unleash their creativity.", ENFP
"Attending an outdoor painting workshop to express artistic flair.", ENFP
"Participating in a neighborhood dance-a-thon fundraiser for charity.", ENFP
"Creating a community podcast to amplify local stories and voices.", ENFP
"Exploring a virtual reality art experience for a unique creative journey.", ENFP
"Organizing a neighborhood fitness challenge to promote well-being.", ENFP
"Attending a community drumming workshop to connect through rhythm.", ENFP
"Joining a neighborhood paint-and-sip event for artistic expression.", ENFP
"Hosting a virtual karaoke night for music and vocal celebration.", ENFP
"Attending a live comedy show to embrace humor and entertainment.", ENFP
"Participating in a community dance workshop to learn and share moves.", ENFP
"Creating a neighborhood scavenger hunt for interactive fun.", ENFP
"Exploring a virtual music festival to enjoy diverse musical genres.", ENFP
"Organizing a community gardening club to cultivate green spaces.", ENFP
"Attending a neighborhood block party with food, games, and laughter.", ENFP
"Joining a community yoga class to promote physical and mental wellness.", ENFP
"Hosting a virtual trivia night with friends for intellectual engagement.", ENFP
"Attending a live music concert to immerse in the energy of performance.", ENFP
"Participating in a community storytelling night around a bonfire.", ENFP
"Creating a neighborhood art installation with recycled materials.", ENFP
"Exploring a virtual cooking class to learn new culinary skills.", ENFP
"Organizing a neighborhood talent show to celebrate diverse abilities.", ENFP
"Attending a virtual dance party with friends for energetic vibes.", ENFP
"Joining a community painting workshop to explore artistic expression.", ENFP
"Hosting a themed costume party to encourage creative outfits.", ENFP
"Attending an outdoor movie night with neighbors for cinematic fun.", ENFP
"Participating in a virtual board game night for friendly competition.", ENFP
"Creating a community mural that reflects local culture and diversity.", ENFP
"Exploring a virtual photography exhibition to appreciate visual storytelling.", ENFP
"Organizing a neighborhood picnic with shared food and laughter.", ENFP
"Attending a community talent show to support local performers.", ENFP
"Joining a virtual dance-off event for spontaneous movement and joy.", ENFP
"Hosting a neighborhood poetry reading night for literary appreciation.", ENFP
"Attending a virtual escape room challenge with friends for problem-solving.", ENFP
"Participating in a neighborhood photography contest to capture local beauty.", ENFP
"Creating a virtual comedy night to share laughter with the community.", ENFP
"Exploring a neighborhood art walk to appreciate local creativity.", ENFP
"Organizing a virtual storytelling event for sharing personal narratives.", ENFP
"Attending a community gardening workshop to connect with nature.", ENFP
"Joining a virtual music jam session with neighbors for musical collaboration.", ENFP
"Generally more reserved", INFP
"Prefers deep, meaningful conversations", INFP
"You love being inside the four walls of your room without wanting to go out for hours.", INFP
"You avoid eye contact with most people while talking to them.", INFP
"You have very few friends with whom you are very open but avoid making new ones.", INFP
"You go out for morning walk to enjoy the nature rather than to actually exercise.", INFP
"When you are on a vacation, you enjoy things that others don't. You observe more than anyone else.", INFP
"Out in the mall, when you see someone who knows you, you start going in the opposite direction to avoid meeting him/her.", INFP
"You are reading books on weekends.", INFP
"You are SUPER crazy about correctness of grammar.", INFP
"You have an insecurity somewhere in your heart (regarding anything - looks, height, career, relationships etc.), but you are perfectly able to hide it from others.", INFP
"You are less fearless than others. But you do know the line between confidence and overconfidence.", INFP
"You tend to daydream more than others. You love the virtual world you have created.", INFP
"You are egoistic. You deny that.", INFP
"You don't worry much about fashion.", INFP
"You are always thinking about something. Many times, you think more than necessary. You can sometimes be very optimistic but adhere to pessimism at other times.", INFP
"You are often fighting with the personalities within yourself.", INFP
"You tend to get depressed more than others. Sometimes you care about things too much and end up hurting your own image in yourself.", INFP
"You never ask your crush out. That ‘taking the time’ phase does not end.", INFP
"When someone asks you out, you first think 'S/He is surely kidding. All this is a prank. How can someone like me?'", INFP
"If you are in a relationship, you would do anything that makes your partner happy. That includes giving up some of your introverted nature.", INFP
"You avoid parties altogether; or make sure you have a way out.", INFP
"You are not lazy, you are just not interested at all.", INFP
"You avoid reading WhatsApp messages especially from those not so close to you, so that you remain unseen.", INFP
"You, VERRRRYYYY rarely, post or share anything on Facebook.", INFP
"You are amazingly talented, but prefer to practice it all alone inside your room. You’re actually afraid of being harshly judged.", INFP
"You have a concept of religion that no one else has.", INFP
"You do not want to share your Playlist, as your choices are very different from those of others.", INFP
"You always prefer e-mail over calling.", INFP
"Your heartbeats race when the phone rings. If the doorbell rings, you get a heart attack.", INFP
"You mentally prepare for phone calls.", INFP
"You are allergic to phrases like 'team player,' 'ice breakers,' and 'pushy salespeople.'", INFP
"Communal tables at coffee places are never an option.", INFP
"You don’t really know how to pull out a weapon of flirtation. So, you continue to stare and it gets awkward. To the point when you want to flush yourself down the toilet.", INFP
"You think for one millisecond before acting on impulse.", INFP
"Lectures over seminars on any day.", INFP
"You have to recharge at the end of the day because you feel drained, even if you genuinely enjoyed every minute of it.", INFP
"You think that some people talk for the sake of having their mouth go up and down, with occasional lip twerking.", INFP
"You have a strict list full of boundaries mentally outlining who is your 'friend' and who is an 'acquaintance.'", INFP
"When you want to leave your condo, but the neighbor is in the hallway. The struggle is phenomenal.", INFP
"Turns off Facebook chat.", INFP
"Friend circle means a group of 3 friends or lesser.", INFP
"Don't answer a phone call, wait till it stops ringing, then send a text 'can't talk right now. What's the matter ? Please text.'", INFP
"You like talking to yourself inside your head.", INFP
"Just look at the WhatsApp text from notification bar and clear them without going to the app unless you want to text.", INFP
"Hill stations over discos, any day.", INFP
"Always wear clothes with side pocket so that you can put your hands inside them during awkward social situations.", INFP
"Don't get excited about your birthdays. You are going to spend it in your bed anyway.", INFP
"Don't step out of your room until you're sure the guests have finally left.", INFP
"You don't pay attention to judgmental assholes who call you egoistical, you continue to be the introvert asshole that you are.", INFP
"You can create a whole mind palace inside your mind and interact with virtual things in it as if they were real.", INFP
"We really love to watch blinking stars just before sleeping with mild cold blowing air in alone with complete silence.", INFP
"They think that there is more to meaning of life than this useless interaction all the time and almost all of them want to search that deeper meaning of life.", INFP

